.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,#,.
G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,Y,Y,Y,Y,#,#,.,.,.,.,.,.,.,#,#,#,#
G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,.,.,#,#,#,#,.,.,.,.,.,.,.,Y,Y,Y,Y,.,#,#,#,#,#,.,.,.,#,#,#,#
G,G,G,G,.,.,.,.,.,#,#,#,.,.,.,.,.,.,G,G,.,.,#,#,#,#,.,.,.,.,.,.,.,Y,Y,Y,Y,.,#,#,.,#,#,#,.,.,#,#,#,#
.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,G,G,G,G,#,#,#,#,#,#,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,G,G
.,.,.,.,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,G,G,G,.,.,#,#,#,.,.,.,.,.,.,.,.,#,#,.,.,.,.,#,#,.,.,.,.,.,.
#,#,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,.,.,.,.,#,#,.,.,.,.,.,.
#,#,#,.,.,.,.,.,.,.,.,.,G,G,.,.,.,.,.,#,#,#,G,.,.,.,.,.,.,.,#,#,#,#,#,#,Y,Y,Y,.,.,.,#,#,.,.,.,.,.,.
#,#,.,.,.,.,#,#,#,#,.,.,#,#,#,#,Y,Y,Y,.,.,.,.,.,.,.,.,#,#,.,#,#,#,#,#,#,B,B,B,B,.,.,.,.,.,.,.,.,.,.
.,.,.,.,#,.,#,#,#,#,.,.,#,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,#,#,.,#,#,#,#,#,#,B,B,B,B,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,#,#,#,#,.,.,#,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,#,#,#,#,.,.,#,#,.,Y,Y,Y,B,.,.,.,.,#,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,#,.,S,.,.,.,#,#,#,#,.,.,#,#,#,#,.,.,#,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,#,#,#,#,.,.,#,#,#,#,.,.,#,#,.,.,.,.,.,.,G,G,G,#,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,#,#,#,#,#,.,.,#,#,#,#,G,G,#,#,.,.,.,.,.,.,G,G,G,G,.,.,.,#,.
.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,.,.,.,G,G,G,G,.,.,.,.,.,.,G,#,#,#,.,.,.,.,.
.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,#,#,#,.,.,.,.,.
.,G,#,G,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,G,G,G,G,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.
#,#,#,G,.,.,.,.,.,.,.,#,#,.,.,.,Y,Y,#,Y,.,.,G,G,G,#,#,#,#,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.
#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.
#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,#,G,G,#,G,.,.,.,.,.,.,.,.,.
.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,#,#,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,G,G,G,G,.,.,.,.,.,.,.,.,.
.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,#,#,#,Y,#,.,.,.,.,.,.,.,.,.,G,G,.,.,.,B,B,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,#,#,#,Y,#,.,.,.,.,.,.,.,.,.,G,G,.,B,B,B,B,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,B,#,#,#,.,#,#,.,.,.,.,.,.,#,#,#,Y,#,#,G,G,G,G,.,.,.,.,.,.,.,B,B,B,.,.,.,.,.,#,#,#,.,.
