34,32
34,33
35,34
36,33
37,34
38,35
39,34
39,34
40,34
40,34
41,34
41,34
42,34
42,34
43,34
43,34
44,34
44,34
43,35
43,35
42,35
42,35
41,35
41,35
40,35
40,35
39,35
39,35
40,35
41,36
41,36
42,36
42,36
43,36
43,36
42,37
42,37
41,37
41,37
40,33
41,34
42,35
43,36
44,37
45,36
45,36
46,36
46,36
47,36
47,36
46,37
46,37
45,37
45,37
44,37
44,37
43,37
43,37
44,38
44,38
45,38
45,38
46,38
46,38
47,37
47,37
47,38
47,38
46,39
45,40
45,40
44,40
44,40
44,41
44,41
45,41
45,41
46,40
46,40
47,40
47,40
46,41
46,41
45,42
45,42
44,37
43,36
42,35
41,34
40,35
39,34
38,34
37,35
36,36
35,37
34,38
33,39
32,40
31,41
30,41
30,41
29,42
29,42
30,42
30,42
31,42
31,42
32,42
32,42
31,43
31,43
30,43
30,43
29,43
29,43
28,43
28,43
28,44
28,44
29,44
29,44
30,44
30,44
31,44
31,44
32,43
32,43
33,42
34,42
34,42
35,42
35,42
34,43
34,43
33,43
32,44
31,45
31,45
30,45
30,45
29,45
29,45
28,45
28,45
29,46
29,46
30,46
30,46
31,46
31,46
29,40
28,39
27,38
26,38
26,38
27,38
27,38
26,39
26,39
27,39
27,39
28,40
28,40
29,40
29,40
30,40
30,40
29,41
29,41
28,41
28,41
28,42
28,42
27,38
28,38
29,38
30,37
30,36
30,35
31,34
32,33
33,32
34,31
34,30
34,29
34,29
35,29
35,29
34,30
34,30
35,30
35,30
34,31
34,31
33,28
32,27
32,26
33,25
32,24
31,23
32,22
31,21
30,20
29,19
29,18
28,17
28,17
29,17
29,17
30,17
30,17
29,18
29,18
28,18
28,18
27,19
28,20
29,21
30,22
30,23
31,24
32,25
33,26
34,27
35,28
36,29
35,30
34,31
34,32
